,date,year,month,avail_slots,booked_slots,under91,91andover,91to107,107andover_neopnmx
92,2019-09-01,2019,9,10.0,8.0,222.0,,549.0,254.0
93,2019-10-01,2019,10,22.0,9.0,219.0,,634.0,284.0
94,2019-11-01,2019,11,25.0,15.0,214.0,,648.0,274.0
95,2019-12-01,2019,12,16.0,5.0,243.0,,624.0,276.0
96,2020-01-01,2020,1,21.0,7.0,238.0,,608.0,288.0
97,2020-02-01,2020,2,43.0,35.0,217.0,,556.0,248.0
98,2020-05-01,2020,5,19.0,5.0,168.0,,482.0,244.0
99,2020-06-01,2020,6,5.0,2.0,183.0,,437.0,225.0
100,2020-07-01,2020,7,4.0,0.0,161.0,,532.0,240.0
101,2020-08-01,2020,8,21.0,14.0,163.0,,568.0,269.0
102,2020-09-01,2020,9,33.0,22.0,171.0,,545.0,233.0
103,2020-10-01,2020,10,45.0,31.0,167.0,,652.0,278.0
104,2020-11-01,2020,11,36.0,19.0,171.0,,592.0,287.0
105,2020-12-01,2020,12,45.0,32.0,183.0,,637.0,294.0
106,2021-01-01,2021,1,78.0,57.0,186.0,,583.0,313.0
107,2021-02-01,2021,2,71.0,50.0,187.0,,556.0,247.0
108,2021-03-01,2021,3,67.0,48.0,207.0,,601.0,291.0
109,2021-04-01,2021,4,75.0,45.0,193.0,,565.0,275.0
110,2021-05-01,2021,5,91.0,41.0,166.0,,566.0,294.0
111,2021-06-01,2021,6,77.0,58.0,159.0,,558.0,278.0
112,2021-07-01,2021,7,98.0,69.0,174.0,,563.0,307.0
113,2021-08-01,2021,8,97.0,71.0,188.0,,611.0,302.0
114,2021-10-01,2021,10,98.0,65.0,187.0,,593.0,281.0
115,2021-11-01,2021,11,113.0,100.0,222.0,,616.0,296.0
116,2021-12-01,2021,12,112.0,82.0,224.0,,664.0,292.0
117,2022-01-01,2022,1,115.0,85.0,208.0,,616.0,283.0
118,2022-02-01,2022,2,117.0,83.0,202.0,,592.0,252.0
119,2022-03-01,2022,3,93.0,62.0,211.0,,621.0,266.0
120,2022-04-01,2022,4,98.0,56.0,205.0,,578.0,251.0
121,2022-05-01,2022,5,116.0,83.0,187.0,,625.0,284.0
122,2022-06-01,2022,6,108.0,68.0,180.0,,645.0,265.0
123,2022-07-01,2022,7,105.0,80.0,191.0,,567.0,291.0
124,2022-08-01,2022,8,104.0,69.0,172.0,,643.0,300.0
125,2022-09-01,2022,9,139.0,93.0,174.0,,548.0,277.0
126,2022-10-01,2022,10,175.0,143.0,194.0,,609.0,283.0
127,2022-11-01,2022,11,146.0,130.0,186.0,,610.0,295.0
128,2022-12-01,2022,12,170.0,144.0,216.0,,644.0,288.0
129,2023-01-01,2023,1,167.0,123.0,237.0,,630.0,261.0
130,2023-02-01,2023,2,145.0,103.0,208.0,,532.0,255.0
131,2023-03-01,2023,3,163.0,130.0,222.0,,611.0,280.0
132,2023-05-01,2023,5,162.0,103.0,192.0,,546.0,272.0
133,2023-06-01,2023,6,136.0,96.0,178.0,,493.0,293.0
